schoolnr,pupilnr,iq_verb,iq_perf,sex,minority,repeatgr,aritpret,classnr,aritpost,langpret,langpost,ses,denomina,schoolse,satiprin,natitest,meetings,currmeet,mixedgra,percmino,aritdiff,homework,classsiz,groupsiz
18,187001,9.5,8.66667,0,0,1,3,1880,8,24,22,23,1,20,4,0,1.2,1.16667,0,0,25,1.66667,28,28
18,187002,9.5,9.66667,1,0,0,9,1880,11,30,27,15,1,20,4,0,1.2,1.16667,0,0,25,1.66667,28,28
18,187003,15,11.33333,1,0,0,12,1880,20,46,45,50,1,20,4,0,1.2,1.16667,0,0,25,1.66667,28,28
18,187004,11.5,10,1,0,0,13,1880,11,36,45,27,1,20,4,0,1.2,1.16667,0,0,25,1.66667,28,28
18,187005,13,12.33333,0,0,0,11,1880,15,30,38,35,1,20,4,0,1.2,1.16667,0,0,25,1.66667,28,28
18,187006,10.5,11.66667,0,0,0,7,1880,6,30,24,33,1,20,4,0,1.2,1.16667,0,0,25,1.66667,28,28
18,187007,13,9.33333,1,0,0,13,1880,16,41,50,25,1,20,4,0,1.2,1.16667,0,0,25,1.66667,28,28
18,187008,11,8.66667,0,0,0,10,1880,8,26,22,20,1,20,4,0,1.2,1.16667,0,0,25,1.66667,28,28
18,187009,14,13.66667,0,0,0,12,1880,20,37,43,30,1,20,4,0,1.2,1.16667,0,0,25,1.66667,28,28
18,187010,13.5,12.66667,0,0,0,12,1880,16,38,28,28,1,20,4,0,1.2,1.16667,0,0,25,1.66667,28,28
18,187012,10.5,8,0,0,0,10,1880,7,35,38,33,1,20,4,0,1.2,1.16667,0,0,25,1.66667,28,28
18,187013,9.5,8.33333,0,0,0,7,1880,16,29,20,25,1,20,4,0,1.2,1.16667,0,0,25,1.66667,28,28
18,187014,15.5,11.33333,0,0,0,9,1880,11,39,40,33,1,20,4,0,1.2,1.16667,0,0,25,1.66667,28,28
18,187015,12,16.33333,0,0,0,14,1880,20,41,47,50,1,20,4,0,1.2,1.16667,0,0,25,1.66667,28,28
18,187016,11,11.66667,0,0,0,9,1880,6,29,20,15,1,20,4,0,1.2,1.16667,0,0,25,1.66667,28,28
18,187017,11,10.66667,1,0,0,6,1880,6,32,28,25,1,20,4,0,1.2,1.16667,0,0,25,1.66667,28,28
18,187018,13,10.33333,0,0,0,12,1880,14,38,33,50,1,20,4,0,1.2,1.16667,0,0,25,1.66667,28,28
18,187019,11.5,9,0,0,0,7,1880,7,16,21,30,1,20,4,0,1.2,1.16667,0,0,25,1.66667,28,28
18,187020,12.5,11,1,0,0,16,1880,26,41,44,38,1,20,4,0,1.2,1.16667,0,0,25,1.66667,28,28
18,187022,12,12.33333,0,0,0,9,1880,15,33,43,20,1,20,4,0,1.2,1.16667,0,0,25,1.66667,28,28
18,187023,10,11.66667,0,0,0,11,1880,6,29,18,35,1,20,4,0,1.2,1.16667,0,0,25,1.66667,28,28
18,187024,10.5,10.33333,1,0,0,11,1880,19,41,31,50,1,20,4,0,1.2,1.16667,0,0,25,1.66667,28,28
18,187025,11.5,7,1,0,0,8,1880,11,29,21,35,1,20,4,0,1.2,1.16667,0,0,25,1.66667,28,28
18,187027,11,12.33333,0,0,0,8,1880,15,34,41,35,1,20,4,0,1.2,1.16667,0,0,25,1.66667,28,28
21,217001,14.5,13.33333,0,0,0,16,2180,30,34,48,20,2,15,2.85714,0,1.8,1.66667,0,0,16,2,19,19
21,217002,13,11,1,0,0,11,2180,12,38,43,18,2,15,2.85714,0,1.8,1.66667,0,0,16,2,19,19
21,217004,8.5,13.33333,0,0,1,9,2180,14,27,32,18,2,15,2.85714,0,1.8,1.66667,0,0,16,2,19,19
21,217005,11.5,11.33333,0,0,0,10,2180,10,31,17,20,2,15,2.85714,0,1.8,1.66667,0,0,16,2,19,19
21,217006,8.5,9.66667,0,0,0,4,2180,14,15,27,20,2,15,2.85714,0,1.8,1.66667,0,0,16,2,19,19
21,217007,13,9,0,0,0,13,2180,17,45,55,28,2,15,2.85714,0,1.8,1.66667,0,0,16,2,19,19
21,217008,12.5,10,1,0,0,9,2180,14,43,45,28,2,15,2.85714,0,1.8,1.66667,0,0,16,2,19,19
21,217009,13.5,8.66667,1,0,0,9,2180,12,34,36,18,2,15,2.85714,0,1.8,1.66667,0,0,16,2,19,19
21,217011,8,9.66667,0,0,1,10,2180,6,25,24,18,2,15,2.85714,0,1.8,1.66667,0,0,16,2,19,19
21,217012,9,10.66667,1,0,1,9,2180,11,30,35,18,2,15,2.85714,0,1.8,1.66667,0,0,16,2,19,19
21,217013,11.5,11.66667,0,0,0,12,2180,16,39,43,23,2,15,2.85714,0,1.8,1.66667,0,0,16,2,19,19
21,217014,13,11.66667,1,0,0,15,2180,18,38,48,23,2,15,2.85714,0,1.8,1.66667,0,0,16,2,19,19
21,217015,14.5,11,1,0,0,11,2180,11,41,38,23,2,15,2.85714,0,1.8,1.66667,0,0,16,2,19,19
21,217016,12,11.66667,0,0,0,11,2180,19,38,44,20,2,15,2.85714,0,1.8,1.66667,0,0,16,2,19,19
21,217017,12,12.66667,0,0,0,15,2180,27,44,47,18,2,15,2.85714,0,1.8,1.66667,0,0,16,2,19,19
21,217018,13.5,14,0,0,0,11,2180,23,38,36,23,2,15,2.85714,0,1.8,1.66667,0,0,16,2,19,19
21,217019,11.5,11.33333,1,0,0,10,2180,19,31,41,25,2,15,2.85714,0,1.8,1.66667,0,0,16,2,19,19
24,247001,12,11.66667,0,0,1,18,2480,26,43,41,23,2,16,3.57143,0,2.7,2.83333,0,0,17,2.66667,35,35
24,247002,10,11.33333,1,0,0,9,2480,13,23,26,20,2,16,3.57143,0,2.7,2.83333,0,0,17,2.66667,35,35
24,247003,14,9.33333,1,0,0,13,2480,16,47,52,20,2,16,3.57143,0,2.7,2.83333,0,0,17,2.66667,35,35
24,247004,12.5,9.33333,0,0,0,15,2480,28,34,43,10,2,16,3.57143,0,2.7,2.83333,0,0,17,2.66667,35,35
24,247005,13,13,0,0,0,20,2480,29,43,54,20,2,16,3.57143,0,2.7,2.83333,0,0,17,2.66667,35,35
24,247006,11.5,7.66667,1,0,0,14,2480,29,33,49,30,2,16,3.57143,0,2.7,2.83333,0,0,17,2.66667,35,35
24,247007,15.5,12.33333,0,0,0,16,2480,29,41,51,20,2,16,3.57143,0,2.7,2.83333,0,0,17,2.66667,35,35
24,247008,13.5,12.66667,0,0,0,17,2480,29,37,47,23,2,16,3.57143,0,2.7,2.83333,0,0,17,2.66667,35,35
24,247009,12,11,1,0,0,14,2480,22,43,51,17,2,16,3.57143,0,2.7,2.83333,0,0,17,2.66667,35,35
24,247010,12,11.66667,1,0,0,15,2480,27,37,51,23,2,16,3.57143,0,2.7,2.83333,0,0,17,2.66667,35,35
24,247011,8.5,11.33333,1,0,0,9,2480,19,31,34,20,2,16,3.57143,0,2.7,2.83333,0,0,17,2.66667,35,35
24,247012,10.5,12,1,0,0,16,2480,28,40,51,23,2,16,3.57143,0,2.7,2.83333,0,0,17,2.66667,35,35
24,247013,10,10,1,0,0,13,2480,26,33,49,23,2,16,3.57143,0,2.7,2.83333,0,0,17,2.66667,35,35
24,247014,9,8.66667,1,0,0,15,2480,18,26,42,37,2,16,3.57143,0,2.7,2.83333,0,0,17,2.66667,35,35
24,247015,13,5.33333,1,0,0,12,2480,23,40,50,17,2,16,3.57143,0,2.7,2.83333,0,0,17,2.66667,35,35
24,247018,6.5,9.33333,1,0,0,10,2480,21,29,33,17,2,16,3.57143,0,2.7,2.83333,0,0,17,2.66667,35,35
24,247019,13.5,9.66667,1,0,0,11,2480,23,38,46,33,2,16,3.57143,0,2.7,2.83333,0,0,17,2.66667,35,35
24,247020,16.5,10.33333,0,0,0,15,2480,28,44,57,20,2,16,3.57143,0,2.7,2.83333,0,0,17,2.66667,35,35
24,247021,10.5,12.33333,0,0,0,14,2480,27,33,35,30,2,16,3.57143,0,2.7,2.83333,0,0,17,2.66667,35,35
24,247022,13.5,9.66667,0,0,0,17,2480,23,29,44,27,2,16,3.57143,0,2.7,2.83333,0,0,17,2.66667,35,35
24,247023,12,13,0,0,0,11,2480,25,33,36,23,2,16,3.57143,0,2.7,2.83333,0,0,17,2.66667,35,35
24,247024,12.5,14.33333,0,0,0,15,2480,29,44,50,23,2,16,3.57143,0,2.7,2.83333,0,0,17,2.66667,35,35
24,247025,13,12.66667,1,0,0,11,2480,20,33,38,27,2,16,3.57143,0,2.7,2.83333,0,0,17,2.66667,35,35
24,247026,12,9.33333,1,0,0,14,2480,26,31,49,27,2,16,3.57143,0,2.7,2.83333,0,0,17,2.66667,35,35
26,267001,10.5,9,0,0,1,10,2680,13,27,26,20,2,19,3.14286,0,2.1,2,0,5,12,3,21,21
26,267002,12,12.33333,0,0,0,15,2680,25,37,48,35,2,19,3.14286,0,2.1,2,0,5,12,3,21,21
26,267003,12.5,11.66667,0,0,0,8,2680,18,32,32,40,2,19,3.14286,0,2.1,2,0,5,12,3,21,21
26,267004,13,15,0,0,0,19,2680,27,40,46,33,2,19,3.14286,0,2.1,2,0,5,12,3,21,21
26,267006,10,9,0,0,1,10,2680,13,33,38,30,2,19,3.14286,0,2.1,2,0,5,12,3,21,21
26,267007,11,9.66667,0,0,0,13,2680,27,26,44,33,2,19,3.14286,0,2.1,2,0,5,12,3,21,21
26,267009,11,13,0,0,0,9,2680,12,35,35,17,2,19,3.14286,0,2.1,2,0,5,12,3,21,21
26,267010,16.5,7.33333,0,0,0,11,2680,17,37,40,23,2,19,3.14286,0,2.1,2,0,5,12,3,21,21
26,267011,13,11.66667,0,0,0,18,2680,23,44,40,37,2,19,3.14286,0,2.1,2,0,5,12,3,21,21
26,267012,11.5,12,0,0,0,18,2680,25,37,46,20,2,19,3.14286,0,2.1,2,0,5,12,3,21,21
26,267013,10,9.66667,1,0,0,6,2680,13,37,31,20,2,19,3.14286,0,2.1,2,0,5,12,3,21,21
26,267014,13.5,7.33333,1,0,0,11,2680,16,40,50,45,2,19,3.14286,0,2.1,2,0,5,12,3,21,21
26,267015,13.5,14,1,0,0,12,2680,26,41,46,40,2,19,3.14286,0,2.1,2,0,5,12,3,21,21
26,267016,16.5,13.66667,1,0,0,12,2680,21,37,51,43,2,19,3.14286,0,2.1,2,0,5,12,3,21,21
26,267017,9,9.33333,1,0,0,9,2680,12,23,29,28,2,19,3.14286,0,2.1,2,0,5,12,3,21,21
26,267018,12,8,1,0,0,13,2680,9,36,39,33,2,19,3.14286,0,2.1,2,0,5,12,3,21,21
26,267019,13.5,9.33333,1,0,0,11,2680,23,39,49,35,2,19,3.14286,0,2.1,2,0,5,12,3,21,21
26,267020,14,12,1,0,0,15,2680,17,43,43,47,2,19,3.14286,0,2.1,2,0,5,12,3,21,21
27,277101,10,8.66667,1,0,0,8,2780,12,34,37,23,1,17,3.28571,0,1.1,1,1,0,9,2.33333,32,32
27,277102,10.5,10.33333,0,0,0,8,2780,14,30,35,23,1,17,3.28571,0,1.1,1,1,0,9,2.33333,32,32
27,277103,13,10.66667,0,0,0,14,2780,21,35,38,28,1,17,3.28571,0,1.1,1,1,0,9,2.33333,32,32
27,277104,13,12,1,0,0,13,2780,14,35,40,23,1,17,3.28571,0,1.1,1,1,0,9,2.33333,32,32
27,277105,14,11.66667,0,0,0,11,2780,19,37,42,47,1,17,3.28571,0,1.1,1,1,0,9,2.33333,32,32
27,277109,14.5,8.66667,0,0,0,8,2780,12,33,41,40,1,17,3.28571,0,1.1,1,1,0,9,2.33333,32,32
27,277110,12,7.33333,0,0,1,9,2780,5,30,32,40,1,17,3.28571,0,1.1,1,1,0,9,2.33333,32,32
27,277111,12.5,11.33333,0,0,0,15,2780,24,36,40,27,1,17,3.28571,0,1.1,1,1,0,9,2.33333,32,32
27,277112,10.5,9.66667,0,0,0,7,2780,6,19,20,23,1,17,3.28571,0,1.1,1,1,0,9,2.33333,32,32
27,277114,11,9.33333,1,0,0,10,2780,18,37,29,27,1,17,3.28571,0,1.1,1,1,0,9,2.33333,32,32
27,277115,12.5,13.66667,0,0,0,13,2780,17,33,41,40,1,17,3.28571,0,1.1,1,1,0,9,2.33333,32,32
27,277116,13,10,0,0,0,6,2780,13,30,23,30,1,17,3.28571,0,1.1,1,1,0,9,2.33333,32,32
27,277120,11.5,9.33333,1,0,1,8,2780,9,19,27,23,1,17,3.28571,0,1.1,1,1,0,9,2.33333,32,32
27,277122,9.5,8.66667,1,0,0,5,2780,12,27,35,27,1,17,3.28571,0,1.1,1,1,0,9,2.33333,32,32
27,277202,11.5,8.33333,0,0,0,15,2780,13,29,33,35,1,17,3.28571,0,1.1,1,1,0,9,2.33333,32,32
27,277203,9.5,10.66667,1,0,0,9,2780,13,20,31,23,1,17,3.28571,0,1.1,1,1,0,9,2.33333,32,32
27,277204,12,8,0,0,0,8,2780,10,30,29,40,1,17,3.28571,0,1.1,1,1,0,9,2.33333,32,32
27,277205,10,8,1,0,0,6,2780,6,25,31,20,1,17,3.28571,0,1.1,1,1,0,9,2.33333,32,32
27,277206,12,9.33333,0,0,0,10,2780,13,32,40,20,1,17,3.28571,0,1.1,1,1,0,9,2.33333,32,32
27,277207,6.5,7,1,0,0,8,2780,6,27,19,20,1,17,3.28571,0,1.1,1,1,0,9,2.33333,32,32
27,277208,11,8.33333,1,0,0,12,2780,8,35,40,35,1,17,3.28571,0,1.1,1,1,0,9,2.33333,32,32
29,297001,18,15,0,0,0,17,2980,29,38,51,45,4,26,3.85714,0,3.1,2.66667,1,0,20,2,22,12
29,297003,16,10.66667,0,0,0,11,2980,20,41,51,47,4,26,3.85714,0,3.1,2.66667,1,0,20,2,22,12
29,297004,12,11.66667,0,0,1,7,2980,9,31,35,50,4,26,3.85714,0,3.1,2.66667,1,0,20,2,22,12
29,297005,11.5,10.33333,0,0,0,7,2980,25,36,50,50,4,26,3.85714,0,3.1,2.66667,1,0,20,2,22,12
29,297006,12,13,0,0,0,9,2980,25,36,51,45,4,26,3.85714,0,3.1,2.66667,1,0,20,2,22,12
29,297007,15.5,12,0,0,0,15,2980,26,33,52,40,4,26,3.85714,0,3.1,2.66667,1,0,20,2,22,12
29,297008,14,11.66667,1,0,0,9,2980,17,36,44,35,4,26,3.85714,0,3.1,2.66667,1,0,20,2,22,12
29,297009,6,10,1,0,0,10,2980,12,34,39,35,4,26,3.85714,0,3.1,2.66667,1,0,20,2,22,12
29,297010,12.5,11,1,0,0,13,2980,12,40,41,35,4,26,3.85714,0,3.1,2.66667,1,0,20,2,22,12
29,297011,16.5,14.33333,1,0,0,16,2980,19,47,51,45,4,26,3.85714,0,3.1,2.66667,1,0,20,2,22,12
33,337001,12,8,0,0,0,6,3380,11,31,20,15,2,19,3.42857,1,1.66667,1.5,1,0,11,2.33333,14,9
33,337002,10,8.33333,1,0,0,10,3380,12,30,43,20,2,19,3.42857,1,1.66667,1.5,1,0,11,2.33333,14,9
33,337003,10,7.66667,0,0,0,6,3380,18,31,31,37,2,19,3.42857,1,1.66667,1.5,1,0,11,2.33333,14,9
33,337004,11,10,0,0,1,8,3380,19,32,42,25,2,19,3.42857,1,1.66667,1.5,1,0,11,2.33333,14,9
33,337005,13,11.66667,0,0,0,15,3380,28,31,50,23,2,19,3.42857,1,1.66667,1.5,1,0,11,2.33333,14,9
33,337006,12,11,1,0,0,9,3380,15,30,41,27,2,19,3.42857,1,1.66667,1.5,1,0,11,2.33333,14,9
35,357001,11,9,1,0,0,9,3580,16,30,38,20,1,19,3.42857,1,2.4,2.33333,1,20,15,3,16,16
35,357002,13,10.33333,0,0,0,8,3580,16,39,52,20,1,19,3.42857,1,2.4,2.33333,1,20,15,3,16,16
35,357003,10.5,9.33333,0,0,0,10,3580,22,31,34,20,1,19,3.42857,1,2.4,2.33333,1,20,15,3,16,16
35,357004,7,9.33333,1,0,1,8,3580,12,25,34,18,1,19,3.42857,1,2.4,2.33333,1,20,15,3,16,16
35,357005,13,12,0,0,0,14,3580,25,38,54,30,1,19,3.42857,1,2.4,2.33333,1,20,15,3,16,16
35,357006,13,15.33333,0,0,0,17,3580,25,39,47,45,1,19,3.42857,1,2.4,2.33333,1,20,15,3,16,16
35,357007,11,10,0,0,0,8,3580,11,20,25,18,1,19,3.42857,1,2.4,2.33333,1,20,15,3,16,16
35,357008,8,8.33333,0,1,1,8,3580,11,30,27,13,1,19,3.42857,1,2.4,2.33333,1,20,15,3,16,16
35,357009,8,7,1,0,0,8,3580,14,26,35,23,1,19,3.42857,1,2.4,2.33333,1,20,15,3,16,16
35,357010,12,13.33333,0,0,0,6,3580,13,31,28,18,1,19,3.42857,1,2.4,2.33333,1,20,15,3,16,16
35,357013,8.5,8,1,1,0,5,3580,13,29,34,10,1,19,3.42857,1,2.4,2.33333,1,20,15,3,16,16
35,357014,9.5,10,0,0,0,10,3580,15,30,42,25,1,19,3.42857,1,2.4,2.33333,1,20,15,3,16,16
35,357015,10.5,9,0,0,0,4,3580,11,33,38,25,1,19,3.42857,1,2.4,2.33333,1,20,15,3,16,16
35,357017,15.5,10.66667,0,1,0,10,3580,20,44,51,30,1,19,3.42857,1,2.4,2.33333,1,20,15,3,16,16
36,367001,14.5,14,0,0,0,17,3680,26,47,55,33,3,20,2.85714,0,2,2,0,0,20,3.33333,29,29
36,367002,12,11.33333,0,0,0,14,3680,19,32,40,20,3,20,2.85714,0,2,2,0,0,20,3.33333,29,29
36,367003,12,11.66667,0,0,0,14,3680,26,41,49,30,3,20,2.85714,0,2,2,0,0,20,3.33333,29,29
36,367004,13,11.66667,1,0,0,12,3680,12,24,37,35,3,20,2.85714,0,2,2,0,0,20,3.33333,29,29
36,367005,9.5,8,0,0,0,6,3680,11,31,31,25,3,20,2.85714,0,2,2,0,0,20,3.33333,29,29
36,367006,12,9.33333,0,0,0,9,3680,12,32,31,30,3,20,2.85714,0,2,2,0,0,20,3.33333,29,29
36,367008,8.5,9.33333,0,0,0,12,3680,12,32,28,30,3,20,2.85714,0,2,2,0,0,20,3.33333,29,29
36,367010,11,8,0,0,0,7,3680,6,26,30,20,3,20,2.85714,0,2,2,0,0,20,3.33333,29,29
36,367012,9.5,9.33333,1,0,0,7,3680,13,33,34,40,3,20,2.85714,0,2,2,0,0,20,3.33333,29,29
36,367013,12.5,12,0,0,0,14,3680,23,38,42,40,3,20,2.85714,0,2,2,0,0,20,3.33333,29,29
36,367014,11,7.66667,1,0,0,8,3680,15,26,29,30,3,20,2.85714,0,2,2,0,0,20,3.33333,29,29
36,367015,12,9.66667,0,0,0,12,3680,22,31,27,20,3,20,2.85714,0,2,2,0,0,20,3.33333,29,29
36,367016,13,10.66667,1,0,0,14,3680,14,31,32,33,3,20,2.85714,0,2,2,0,0,20,3.33333,29,29
36,367018,9.5,9.33333,0,0,1,8,3680,8,28,22,30,3,20,2.85714,0,2,2,0,0,20,3.33333,29,29
36,367019,14.5,12,0,0,0,14,3680,23,34,34,30,3,20,2.85714,0,2,2,0,0,20,3.33333,29,29
