PUPIL,SCHOOL,POPULAR,SEX,TEXP,CONST,TEACHPOP
14,29,5,1,22,1,5
15,29,7,1,22,1,5
16,29,5,1,22,1,4
17,29,6,1,22,1,4
18,29,4,0,22,1,4
1,30,5,0,6,1,4
2,30,5,0,6,1,4
3,30,5,1,6,1,4
4,30,5,0,6,1,4
5,30,6,1,6,1,5
6,30,4,0,6,1,4
7,30,4,0,6,1,5
8,30,5,1,6,1,4
9,30,4,0,6,1,4
10,30,7,1,6,1,4
11,30,5,0,6,1,5
12,30,5,1,6,1,4
13,30,6,1,6,1,4
14,30,5,0,6,1,5
15,30,6,1,6,1,4
16,30,6,1,6,1,4
17,30,6,1,6,1,4
1,31,4,0,6,1,4
2,31,5,1,6,1,5
4,31,5,1,6,1,4
5,31,5,1,6,1,4
6,31,4,0,6,1,4
7,31,6,1,6,1,4
8,31,5,1,6,1,5
9,31,5,1,6,1,4
10,31,4,0,6,1,4
11,31,5,0,6,1,4
12,31,4,0,6,1,5
13,31,4,0,6,1,4
14,31,4,0,6,1,4
15,31,5,0,6,1,5
16,31,5,0,6,1,4
17,31,5,1,6,1,5
18,31,4,0,6,1,5
19,31,4,0,6,1,4
20,31,5,1,6,1,4
1,32,6,1,12,1,5
2,32,4,0,12,1,4
3,32,6,1,12,1,5
4,32,6,1,12,1,4
5,32,4,0,12,1,4
6,32,4,0,12,1,4
7,32,4,0,12,1,4
8,32,7,1,12,1,6
9,32,4,0,12,1,4
10,32,7,1,12,1,6
11,32,7,1,12,1,5
12,32,4,0,12,1,4
13,32,7,1,12,1,6
14,32,4,0,12,1,5
15,32,6,1,12,1,4
16,32,5,0,12,1,4
17,32,4,0,12,1,4
18,32,4,0,12,1,4
19,32,4,0,12,1,4
20,32,5,1,12,1,5
21,32,4,0,12,1,5
22,32,6,1,12,1,4
23,32,7,1,12,1,6
1,33,4,0,3,1,4
2,33,6,1,3,1,4
3,33,6,0,3,1,4
4,33,5,1,3,1,5
5,33,4,0,3,1,4
6,33,4,0,3,1,4
7,33,6,1,3,1,4
8,33,5,1,3,1,5
9,33,4,0,3,1,4
10,33,7,1,3,1,5
11,33,5,1,3,1,4
12,33,4,1,3,1,4
13,33,5,1,3,1,5
14,33,4,0,3,1,4
15,33,5,1,3,1,4
16,33,4,0,3,1,5
17,33,6,1,3,1,4
18,33,6,1,3,1,5
19,33,6,1,3,1,4
1,34,5,0,8,1,5
2,34,5,0,8,1,5
3,34,6,1,8,1,6
4,34,5,0,8,1,5
5,34,5,0,8,1,5
6,34,4,0,8,1,5
7,34,5,0,8,1,5
8,34,5,0,8,1,5
9,34,6,1,8,1,6
10,34,5,0,8,1,4
11,34,5,0,8,1,5
12,34,6,1,8,1,5
13,34,4,0,8,1,5
14,34,6,0,8,1,5
15,34,6,1,8,1,6
16,34,5,0,8,1,5
17,34,5,0,8,1,4
18,34,6,1,8,1,5
19,34,5,0,8,1,5
20,34,6,0,8,1,5
21,34,6,1,8,1,5
22,34,6,1,8,1,5
1,35,7,0,25,1,5
2,35,6,1,25,1,5
3,35,7,1,25,1,5
4,35,6,1,25,1,6
5,35,7,1,25,1,5
6,35,6,1,25,1,5
7,35,7,0,25,1,5
8,35,7,1,25,1,5
9,35,7,0,25,1,5
10,35,8,1,25,1,7
11,35,6,0,25,1,5
12,35,7,0,25,1,5
13,35,7,1,25,1,5
14,35,7,0,25,1,5
15,35,7,1,25,1,5
16,35,6,1,25,1,6
17,35,7,1,25,1,6
18,35,6,0,25,1,5
19,35,8,0,25,1,6
20,35,6,1,25,1,5
1,36,6,1,15,1,4
2,36,4,0,15,1,4
3,36,4,0,15,1,4
4,36,4,0,15,1,4
5,36,5,0,15,1,4
6,36,6,1,15,1,5
7,36,6,1,15,1,5
8,36,6,1,15,1,4
9,36,5,0,15,1,5
10,36,7,1,15,1,5
11,36,5,0,15,1,5
12,36,4,0,15,1,4
13,36,6,1,15,1,4
14,36,5,1,15,1,4
15,36,5,0,15,1,4
16,36,6,1,15,1,4
17,36,5,0,15,1,5
18,36,5,0,15,1,5
19,36,5,0,15,1,4
1,37,7,0,20,1,5
2,37,6,1,20,1,6
3,37,6,1,20,1,5
4,37,8,1,20,1,5
5,37,6,0,20,1,5
6,37,6,0,20,1,5
7,37,7,0,20,1,5
8,37,6,1,20,1,6
9,37,6,0,20,1,5
10,37,5,0,20,1,5
11,37,6,1,20,1,5
12,37,6,0,20,1,5
13,37,6,0,20,1,5
14,37,5,0,20,1,5
15,37,6,0,20,1,5
16,37,5,0,20,1,5
17,37,6,0,20,1,5
18,37,6,1,20,1,5
19,37,7,1,20,1,5
1,38,6,0,18,1,5
2,38,5,0,18,1,4
3,38,6,0,18,1,5
4,38,5,1,18,1,4
5,38,5,1,18,1,5
6,38,4,1,18,1,5
7,38,5,1,18,1,4
8,38,6,0,18,1,6
9,38,5,1,18,1,4
10,38,6,0,18,1,4
11,38,6,0,18,1,4
12,38,5,0,18,1,4
13,38,5,0,18,1,4
14,38,5,0,18,1,4
15,38,6,1,18,1,6
16,38,5,1,18,1,5
17,38,6,0,18,1,4
1,39,6,1,19,1,5
2,39,5,1,19,1,5
3,39,4,0,19,1,5
4,39,5,0,19,1,4
5,39,6,1,19,1,5
6,39,6,1,19,1,6
7,39,6,1,19,1,5
8,39,7,1,19,1,6
9,39,6,1,19,1,6
10,39,5,1,19,1,5
11,39,5,0,19,1,4
12,39,5,0,19,1,5
13,39,5,0,19,1,5
14,39,6,1,19,1,6
15,39,4,0,19,1,5
16,39,6,1,19,1,6
1,40,6,1,2,1,5
2,40,5,0,2,1,4
3,40,6,1,2,1,5
4,40,6,1,2,1,6
5,40,5,1,2,1,4
6,40,6,0,2,1,5
7,40,6,0,2,1,5
8,40,6,0,2,1,5
9,40,5,1,2,1,4
10,40,5,0,2,1,4
11,40,5,0,2,1,4
12,40,6,0,2,1,6
13,40,5,1,2,1,4
14,40,4,1,2,1,4
15,40,7,1,2,1,4
16,40,5,0,2,1,4
17,40,5,0,2,1,5
18,40,4,0,2,1,4
19,40,7,1,2,1,5
20,40,4,0,2,1,4
1,41,6,1,18,1,5
2,41,5,0,18,1,5
3,41,5,0,18,1,5
4,41,6,1,18,1,4
5,41,5,0,18,1,4
6,41,5,0,18,1,5
7,41,5,0,18,1,4
8,41,6,1,18,1,4
9,41,5,1,18,1,4
10,41,5,1,18,1,4
11,41,6,1,18,1,6
12,41,5,0,18,1,4
13,41,4,0,18,1,4
14,41,6,0,18,1,4
15,41,6,1,18,1,6
16,41,5,1,18,1,4
17,41,6,1,18,1,4
18,41,6,1,18,1,5
19,41,5,0,18,1,5
1,42,6,1,12,1,5
2,42,4,0,12,1,4
3,42,5,0,12,1,4
4,42,7,1,12,1,5
5,42,5,0,12,1,4
6,42,6,1,12,1,4
7,42,6,0,12,1,5
8,42,6,1,12,1,5
9,42,6,1,12,1,5
10,42,5,1,12,1,4
11,42,4,0,12,1,4
12,42,5,1,12,1,4
13,42,6,1,12,1,6
14,42,7,1,12,1,4
15,42,5,0,12,1,4
16,42,4,0,12,1,4
17,42,7,1,12,1,5
18,42,4,0,12,1,4
19,42,6,1,12,1,6
20,42,6,1,12,1,5
21,42,7,1,12,1,6
1,43,4,0,12,1,4
2,43,5,1,12,1,5
3,43,4,0,12,1,4
4,43,4,1,12,1,4
5,43,5,1,12,1,5
6,43,4,1,12,1,4
7,43,4,0,12,1,4
8,43,4,0,12,1,4
9,43,4,1,12,1,4
10,43,4,0,12,1,4
11,43,4,0,12,1,4
12,43,4,0,12,1,5
13,43,4,0,12,1,5
14,43,5,0,12,1,4
15,43,5,0,12,1,5
16,43,5,0,12,1,4
17,43,5,0,12,1,5
1,44,5,0,14,1,5
2,44,8,1,14,1,5
3,44,7,1,14,1,5
4,44,5,1,14,1,5
5,44,6,0,14,1,6
6,44,5,0,14,1,5
7,44,5,1,14,1,5
8,44,5,0,14,1,5
9,44,5,0,14,1,5
10,44,6,0,14,1,5
11,44,5,0,14,1,5
12,44,6,1,14,1,5
13,44,5,1,14,1,5
14,44,6,1,14,1,5
15,44,7,1,14,1,5
16,44,6,0,14,1,6
17,44,6,0,14,1,6
18,44,6,1,14,1,6
19,44,4,0,14,1,5
1,45,6,0,20,1,5
2,45,7,1,20,1,6
3,45,6,1,20,1,5
4,45,6,1,20,1,5
5,45,6,0,20,1,6
6,45,7,0,20,1,6
7,45,6,0,20,1,5
8,45,6,1,20,1,6
9,45,7,0,20,1,5
10,45,7,1,20,1,6
11,45,7,0,20,1,5
12,45,7,0,20,1,5
13,45,6,0,20,1,6
14,45,7,0,20,1,5
15,45,6,0,20,1,5
16,45,6,0,20,1,5
17,45,6,1,20,1,5
18,45,7,0,20,1,5
19,45,7,0,20,1,5
1,46,6,1,18,1,5
2,46,6,1,18,1,6
3,46,7,1,18,1,5
4,46,6,0,18,1,5
5,46,5,0,18,1,5
6,46,5,0,18,1,5
7,46,7,1,18,1,6
8,46,8,1,18,1,6
9,46,6,0,18,1,5
10,46,6,1,18,1,6
11,46,6,1,18,1,5
12,46,6,1,18,1,5
13,46,7,1,18,1,5
14,46,7,1,18,1,5
15,46,6,0,18,1,6
16,46,6,0,18,1,5
17,46,7,1,18,1,5
18,46,5,0,18,1,5
19,46,7,1,18,1,5
20,46,6,1,18,1,5
21,46,7,1,18,1,6
22,46,7,1,18,1,6
23,46,6,0,18,1,5
1,47,4,1,13,1,3
2,47,4,0,13,1,3
3,47,3,1,13,1,2
4,47,3,0,13,1,3
5,47,4,0,13,1,3
6,47,4,1,13,1,3
7,47,4,0,13,1,3
8,47,4,1,13,1,2
9,47,4,1,13,1,3
10,47,4,1,13,1,2
11,47,4,0,13,1,3
12,47,4,1,13,1,3
13,47,3,0,13,1,2
14,47,3,0,13,1,2
15,47,4,1,13,1,2
16,47,5,1,13,1,3
17,47,3,0,13,1,2
1,48,5,1,6,1,5
2,48,4,0,6,1,3
3,48,5,0,6,1,4
4,48,4,0,6,1,5
5,48,5,0,6,1,4
6,48,5,0,6,1,4
7,48,5,1,6,1,4
8,48,6,1,6,1,3
9,48,4,0,6,1,3
10,48,6,1,6,1,4
11,48,4,0,6,1,4
12,48,5,0,6,1,4
13,48,6,1,6,1,3
14,48,5,1,6,1,3
15,48,5,0,6,1,5
16,48,5,1,6,1,4
17,48,6,1,6,1,4
18,48,5,0,6,1,3
19,48,3,0,6,1,3
1,49,6,1,7,1,4
2,49,5,1,7,1,3
3,49,4,0,7,1,4
4,49,5,1,7,1,4
5,49,5,1,7,1,3
6,49,4,0,7,1,3
7,49,5,1,7,1,3
8,49,4,0,7,1,3
9,49,4,0,7,1,3
10,49,5,1,7,1,4
11,49,5,1,7,1,4
12,49,6,1,7,1,3
13,49,6,1,7,1,3
14,49,3,0,7,1,4
15,49,5,1,7,1,4
16,49,4,0,7,1,4
17,49,3,0,7,1,3
18,49,6,1,7,1,3
19,49,4,0,7,1,4
20,49,4,0,7,1,3
1,50,7,0,25,1,6
2,50,8,1,25,1,7
3,50,7,1,25,1,6
4,50,7,0,25,1,6
5,50,6,0,25,1,6
6,50,7,1,25,1,6
7,50,7,0,25,1,6
8,50,6,0,25,1,5
9,50,6,0,25,1,6
10,50,6,0,25,1,5
11,50,7,1,25,1,6
12,50,7,0,25,1,6
13,50,8,1,25,1,6
14,50,8,0,25,1,6
15,50,8,0,25,1,7
16,50,8,1,25,1,6
